log_id,order_id,channel,direction,template_type,sent_time,delivery_status,customer_action
LOG0000000,ST2025001161,WhatsApp,Outbound,O2C,2024-09-14 15:57:00,Delivered,Ignored
LOG0000001,ST2025001897,Email,Outbound,Vet Transfer,2024-08-11 06:09:00,Read,Clicked
LOG0000002,ST2025007825,SMS,Inbound,Vet Transfer,2024-02-15 15:48:00,Delivered,Ignored
LOG0000003,ST2025001387,Call,Outbound,Delivery Update,2024-10-13 04:39:00,Delivered,Ignored
LOG0000004,ST2025007218,Email,Outbound,Delivery Update,2024-12-22 17:38:00,Delivered,Ignored
LOG0000005,ST2025001830,SMS,Inbound,Vet Transfer,2024-03-12 02:04:00,Delivered,Ignored
LOG0000006,ST2025009024,Call,Outbound,Delivery Update,2024-02-04 00:53:00,Delivered,Clicked
LOG0000007,ST2025004131,SMS,Outbound,Payment Reminder,2024-10-23 18:00:00,Delivered,Clicked
LOG0000008,ST2025008900,Call,Outbound,O2C,2024-06-12 14:37:00,Delivered,Clicked
LOG0000009,ST2025003279,WhatsApp,Outbound,Vet Transfer,2024-01-12 21:16:00,Delivered,Replied
LOG0000010,ST2025006351,SMS,Outbound,Vet Transfer,2024-11-08 04:40:00,Delivered,Clicked
LOG0000011,ST2025009639,WhatsApp,Outbound,Vet Transfer,2024-02-17 03:18:00,Delivered,Replied
LOG0000012,ST2025003634,WhatsApp,Outbound,Delivery Update,2024-09-29 03:25:00,Read,Replied
LOG0000013,ST2025009590,SMS,Outbound,O2C,2024-08-25 17:37:00,Delivered,Ignored
LOG0000014,ST2025000266,WhatsApp,Outbound,Delivery Update,2024-03-29 23:35:00,Delivered,Clicked
LOG0000015,ST2025001069,SMS,Outbound,Vet Transfer,2024-03-06 07:38:00,Read,Ignored
LOG0000016,ST2025003646,SMS,Inbound,O2C,2024-02-27 05:11:00,Delivered,Ignored
LOG0000017,ST2025007075,Email,Outbound,Vet Transfer,2024-07-01 05:17:00,Delivered,Clicked
LOG0000018,ST2025006034,Call,Outbound,O2C,2024-09-10 11:45:00,Delivered,Replied
LOG0000019,ST2025007883,SMS,Outbound,Delivery Update,2024-11-06 04:01:00,Delivered,Ignored
LOG0000020,ST2025005180,SMS,Outbound,Delivery Update,2024-12-23 03:31:00,Read,Ignored
LOG0000021,ST2025007588,Call,Outbound,O2C,2024-12-29 23:45:00,Read,Clicked
LOG0000022,ST2025006857,WhatsApp,Outbound,Delivery Update,2024-08-16 04:32:00,Read,Clicked
LOG0000023,ST2025001058,WhatsApp,Outbound,Delivery Update,2024-09-19 13:24:00,Delivered,Clicked
LOG0000024,ST2025008466,WhatsApp,Outbound,Delivery Update,2024-11-04 05:08:00,Delivered,Replied
LOG0000025,ST2025001850,WhatsApp,Outbound,Delivery Update,2024-05-29 10:23:00,Delivered,Clicked
LOG0000026,ST2025009425,WhatsApp,Outbound,Payment Reminder,2024-12-18 13:31:00,Read,Ignored
LOG0000027,ST2025004580,SMS,Outbound,Payment Reminder,2024-06-02 18:44:00,Delivered,Ignored
LOG0000028,ST2025007746,Email,Outbound,Payment Reminder,2024-06-30 11:32:00,Read,Ignored
LOG0000029,ST2025005777,Email,Outbound,Delivery Update,2024-04-27 07:12:00,Delivered,Clicked
LOG0000030,ST2025001620,Email,Outbound,O2C,2024-04-17 21:57:00,Delivered,Ignored
LOG0000031,ST2025000973,WhatsApp,Inbound,O2C,2024-11-21 18:41:00,Delivered,Ignored
LOG0000032,ST2025000802,Call,Outbound,Vet Transfer,2024-09-30 15:15:00,Delivered,Ignored
