order_id,warehouse,first_mile_scan,hub_in_scan,out_for_delivery,rto_flag,courier_delay_flag,weight,shipment_tat_hours
ST2025000000,HYD,2024-02-10 05:13:00,2024-02-10 23:13:00,2024-02-11 02:13:00,False,False,2.99,57
ST2025000001,GGN,2024-09-10 07:45:00,2024-09-10 17:45:00,2024-09-12 20:45:00,False,False,2.58,63
ST2025000002,BOM,2024-02-07 03:52:00,2024-02-07 14:52:00,2024-02-09 11:52:00,False,False,1.07,132
ST2025000003,BOM,2024-10-15 20:26:00,2024-10-17 00:26:00,2024-10-17 04:26:00,False,False,2.64,123
ST2025000004,BOM,2024-05-15 07:22:00,2024-05-16 07:22:00,2024-05-17 22:22:00,False,False,2.16,192
ST2025000005,GGN,2024-02-29 12:00:00,2024-03-01 15:00:00,2024-03-01 14:00:00,False,False,0.87,139
ST2025000006,BLR,2024-11-19 04:40:00,2024-11-19 14:40:00,2024-11-21 13:40:00,False,False,1.29,61
ST2025000007,HYD,2024-10-15 18:20:00,2024-10-16 02:20:00,2024-10-18 05:20:00,False,False,2.66,180
ST2025000008,GGN,2024-09-20 01:04:00,2024-09-21 08:04:00,2024-09-21 07:04:00,False,False,1.63,33
ST2025000009,DEL,2024-11-11 20:30:00,2024-11-12 22:30:00,2024-11-13 08:30:00,False,False,2.28,120
ST2025000010,DEL,2024-10-26 12:14:00,2024-10-27 04:14:00,2024-10-27 06:14:00,False,False,0.37,78
ST2025000011,DEL,2024-08-24 00:37:00,2024-08-24 15:37:00,2024-08-25 07:37:00,False,False,1.94,86
ST2025000012,BLR,2024-10-08 06:15:00,2024-10-09 08:15:00,2024-10-10 03:15:00,False,False,2.87,166
ST2025000013,BLR,2024-02-08 15:11:00,2024-02-09 23:11:00,2024-02-10 07:11:00,False,False,2.75,133
ST2025000014,GGN,2024-01-01 11:55:00,2024-01-02 02:55:00,2024-01-02 14:55:00,False,False,2.88,26
ST2025000015,DEL,2024-09-22 19:37:00,2024-09-23 19:37:00,2024-09-25 11:37:00,False,True,1.93,169
ST2025000016,GGN,2024-12-01 20:18:00,2024-12-03 00:18:00,2024-12-03 15:18:00,True,False,2.45,64
ST2025000017,BOM,2024-03-19 02:30:00,2024-03-19 09:30:00,2024-03-20 22:30:00,False,False,0.34,71
ST2025000018,BLR,2024-01-25 01:30:00,2024-01-25 10:30:00,2024-01-27 07:30:00,False,False,0.64,100
ST2025000019,GGN,2024-07-19 19:27:00,2024-07-20 05:27:00,2024-07-21 06:27:00,False,True,1.93,120
ST2025000020,BLR,2024-12-13 22:34:00,2024-12-15 05:34:00,2024-12-15 04:34:00,False,False,0.26,198
