order_id,customer_id,order_date,order_status,payment_mode,product_id,product_category,order_value,discount_value,promised_delivery_date,actual_delivery_date,city,state,is_repeat_customer,shipment_partner,shipment_mode
ST2025000000,8270,2024-02-10 02:13:00,Delivered,UPI,SKU03899,Accessories,2384.14,298.9,2024-02-15 02:13:00,2024-02-14 02:13:00,Kolkata,Tamil Nadu,True,Bluedart,Surface
ST2025000001,1860,2024-09-09 22:45:00,Shipped,COD,SKU03852,Food,2449.95,462.15,2024-09-13 22:45:00,2024-09-14 22:45:00,Delhi,Tamil Nadu,True,Bluedart,Surface
ST2025000002,6390,2024-02-06 19:52:00,Delivered,COD,SKU02734,Accessories,3183.37,255.23,2024-02-09 19:52:00,2024-02-09 19:52:00,Pune,Delhi,False,XpressBees,Air
ST2025000003,6191,2024-10-15 18:26:00,Shipped,Wallet,SKU03811,Accessories,3814.24,139.82,2024-10-17 18:26:00,2024-10-19 18:26:00,Delhi,West Bengal,True,Ecom,Air
ST2025000004,6734,2024-05-14 23:22:00,Delivered,Card,SKU02654,Grooming,1519.94,192.42,2024-05-16 23:22:00,2024-05-15 23:22:00,Chennai,West Bengal,True,Bluedart,Air
ST2025000005,7265,2024-02-29 09:00:00,Delivered,Wallet,SKU03251,Accessories,1835.66,109.41,2024-03-03 09:00:00,2024-03-03 09:00:00,Hyderabad,Maharashtra,False,Delhivery,Air
ST2025000006,1466,2024-11-18 21:40:00,Shipped,Wallet,SKU03350,Grooming,2734.5,109.99,2024-11-23 21:40:00,2024-11-23 21:40:00,Delhi,Telangana,True,XpressBees,Surface
ST2025000007,5426,2024-10-15 13:20:00,Placed,Card,SKU03311,Vet Pharma,3874.0,235.21,2024-10-18 13:20:00,2024-10-21 13:20:00,Mumbai,West Bengal,False,Bluedart,Air
ST2025000008,6578,2024-09-19 22:04:00,Delivered,Card,SKU04681,Grooming,3579.55,446.28,2024-09-21 22:04:00,2024-09-25 22:04:00,Hyderabad,Karnataka,True,Bluedart,Air
ST2025000009,9322,2024-11-11 12:30:00,Delivered,UPI,SKU02387,Accessories,2718.15,95.93,2024-11-13 12:30:00,2024-11-13 12:30:00,Chennai,Delhi,True,XpressBees,Air
