ticket_id,customer_id,order_id,issue_category,created_at,resolved_at,resolution_status,csat_score
TKT000000,5102,ST2025004600,Delivery Delay,2024-07-12 17:26:00,2024-07-18 00:26:00,Resolved,4
TKT000001,6947,ST2025003731,Product Issue,2024-02-03 09:47:00,2024-02-09 22:47:00,Resolved,1
TKT000002,3421,ST2025003998,Delivery Delay,2024-05-23 08:08:00,2024-05-26 16:08:00,Resolved,4
TKT000003,2319,ST2025008568,Payment Issue,2024-11-24 02:19:00,2024-11-28 00:19:00,Resolved,2
TKT000004,2231,ST2025004111,Delivery Delay,2024-06-15 23:49:00,2024-06-18 16:49:00,Resolved,1
TKT000005,4561,ST2025008142,Delivery Delay,2024-08-15 01:46:00,2024-08-19 13:46:00,Pending,2
TKT000006,6279,ST2025002606,Delivery Delay,2024-10-26 18:34:00,2024-10-30 05:34:00,Resolved,5
TKT000007,1489,ST2025004246,Delivery Delay,2024-02-16 17:09:00,2024-02-21 14:09:00,Resolved,3
TKT000008,4557,ST2025007680,Payment Issue,2024-01-11 22:47:00,2024-01-18 03:47:00,Resolved,2
TKT000009,2222,ST2025003694,Delivery Delay,2024-05-03 20:01:00,2024-05-10 15:01:00,Pending,2
TKT000010,1462,ST2025007093,Product Issue,2024-02-03 08:34:00,2024-02-10 22:34:00,Resolved,2
TKT000011,8119,ST2025000893,Payment Issue,2024-01-27 16:42:00,2024-02-04 22:42:00,Resolved,4
TKT000012,9164,ST2025003890,Vet Consult,2024-08-14 00:36:00,2024-08-17 21:36:00,Resolved,3
TKT000013,6255,ST2025006246,Vet Consult,2024-06-16 04:04:00,2024-06-18 20:04:00,Resolved,4
TKT000014,1151,ST2025008934,Payment Issue,2024-09-25 06:31:00,2024-10-01 10:31:00,Resolved,2
TKT000015,1595,ST2025009991,Payment Issue,2024-05-08 06:29:00,2024-05-10 11:29:00,Pending,2
TKT000016,3053,ST2025008393,Payment Issue,2024-09-02 20:30:00,2024-09-08 02:30:00,Resolved,3
TKT000017,4235,ST2025006479,Delivery Delay,2024-10-28 22:25:00,2024-11-05 00:25:00,Resolved,3
TKT000018,3258,ST2025003541,Product Issue,2024-03-01 18:25:00,2024-03-04 01:25:00,Resolved,4
TKT000019,1901,ST2025008799,Vet Consult,2024-10-12 21:17:00,2024-10-21 05:17:00,Resolved,3
TKT000020,6295,ST2025007229,Payment Issue,2024-01-03 12:54:00,2024-01-04 13:54:00,Resolved,1
TKT000021,7963,ST2025000415,Vet Consult,2024-04-01 13:54:00,2024-04-02 04:54:00,Resolved,4
TKT000022,9680,ST2025000325,Delivery Delay,2024-09-07 05:10:00,2024-09-14 18:10:00,Resolved,5
TKT000023,4516,ST2025005338,Payment Issue,2024-04-15 21:47:00,2024-04-16 17:47:00,Resolved,2
TKT000024,6690,ST2025000675,Vet Consult,2024-07-05 07:56:00,2024-07-07 07:56:00,Resolved,1
TKT000025,6832,ST2025005351,Vet Consult,2024-11-09 19:58:00,2024-11-17 19:58:00,Resolved,5
TKT000026,7852,ST2025000194,Payment Issue,2024-10-29 05:21:00,2024-11-03 13:21:00,Resolved,4
TKT000027,2060,ST2025000651,Product Issue,2024-10-11 00:37:00,2024-10-13 20:37:00,Resolved,5
TKT000028,6738,ST2025003216,Product Issue,2024-08-31 09:48:00,2024-09-04 05:48:00,Resolved,1
TKT000029,4983,ST2025005816,Delivery Delay,2024-08-22 18:05:00,2024-08-25 22:05:00,Resolved,2
TKT000030,1821,ST2025006958,Payment Issue,2024-12-20 22:32:00,2024-12-27 02:32:00,Resolved,1
TKT000031,7131,ST2025008066,Vet Consult,2024-05-25 11:54:00,2024-05-26 15:54:00,Resolved,4
TKT000032,8849,ST2025000691,Product Issue,2024-03-29 11:44:00,2024-03-31 08:44:00,Pending,2
TKT000033,4384,ST2025005229,Delivery Delay,2024-05-01 12:30:00,2024-05-09 01:30:00,Resolved,1
TKT000034,7684,ST2025005741,Product Issue,2024-11-10 20:30:00,2024-11-12 04:30:00,Pending,5
TKT000035,2925,ST2025005286,Delivery Delay,2024-10-13 23:22:00,2024-10-18 14:22:00,Escalated,2
TKT000036,3709,ST2025006319,Delivery Delay,2024-10-27 09:47:00,2024-11-03 13:47:00,Resolved,1
TKT000037,5798,ST2025004377,Payment Issue,2024-05-27 04:32:00,2024-06-04 01:32:00,Resolved,4
TKT000038,1540,ST2025007029,Vet Consult,2024-05-14 18:48:00,2024-05-21 05:48:00,Resolved,2
TKT000039,7240,ST2025009251,Product Issue,2024-08-13 07:55:00,2024-08-15 07:55:00,Resolved,2
TKT000040,3681,ST2025005594,Vet Consult,2024-11-29 15:44:00,2024-12-04 12:44:00,Resolved,2
TKT000041,3809,ST2025002951,Product Issue,2024-03-27 00:02:00,2024-03-28 19:02:00,Resolved,5
TKT000042,7127,ST2025003953,Delivery Delay,2024-01-30 16:51:00,2024-02-03 06:51:00,Resolved,2
TKT000043,9326,ST2025005144,Payment Issue,2024-08-29 17:26:00,2024-08-30 22:26:00,Resolved,1
TKT000044,4030,ST2025006938,Vet Consult,2024-03-31 14:43:00,2024-04-04 21:43:00,Resolved,5
TKT000045,3000,ST2025009551,Payment Issue,2024-01-07 11:57:00,2024-01-10 03:57:00,Resolved,5
TKT000046,5177,ST2025006280,Delivery Delay,2024-10-03 09:27:00,2024-10-05 00:27:00,Resolved,5
TKT000047,8022,ST2025003594,Vet Consult,2024-07-18 05:31:00,2024-07-25 05:31:00,Resolved,1
TKT000048,6573,ST2025009969,Delivery Delay,2024-01-13 06:04:00,2024-01-19 10:04:00,Resolved,2
TKT000049,7522,ST2025003881,Delivery Delay,2024-10-14 18:15:00,2024-10-16 19:15:00,Escalated,1
TKT000050,4955,ST2025009222,Product Issue,2024-09-08 08:52:00,2024-09-08 12:52:00,Resolved,4
TKT000051,4993,ST2025007116,Vet Consult,2024-01-04 08:27:00,2024-01-04 19:27:00,Resolved,2
TKT000052,7640,ST2025001874,Payment Issue,2024-07-29 05:58:00,2024-07-31 18:58:00,Resolved,5
TKT000053,2793,ST2025005086,Payment Issue,2024-03-01 07:24:00,2024-03-03 16:24:00,Escalated,4
TKT000054,1658,ST2025007075,Delivery Delay,2024-08-16 16:02:00,2024-08-22 04:02:00,Pending,1
TKT000055,7222,ST2025000790,Product Issue,2024-01-24 18:44:00,2024-02-01 14:44:00,Resolved,2
