call_id,customer_id,order_id,call_type,call_start_time,call_duration_secs,vet_transfer_success,call_duration_minutes
CALL000000,2567,ST2025008604,Free UCJ Consult,2024-12-11 06:26:00,1324,True,22.066666666666666
CALL000001,4992,ST2025006295,Free UCJ Consult,2024-12-12 17:33:00,994,True,16.566666666666666
CALL000002,4056,ST2025009873,Paid Vet Consult,2024-07-24 17:47:00,1499,True,24.983333333333334
CALL000003,3461,ST2025003428,Free UCJ Consult,2024-11-08 19:35:00,916,True,15.266666666666667
CALL000004,7364,ST2025008857,Free UCJ Consult,2024-01-23 04:02:00,1158,False,19.3
CALL000005,3849,ST2025002987,Free UCJ Consult,2024-08-03 23:35:00,470,True,7.833333333333333
CALL000006,4560,ST2025006024,Free UCJ Consult,2024-06-17 15:48:00,859,False,14.316666666666666
CALL000007,7164,ST2025003078,Free UCJ Consult,2024-05-31 14:28:00,1017,True,16.95
CALL000008,9101,ST2025009417,Free UCJ Consult,2024-05-09 08:12:00,924,True,15.4
CALL000009,2060,ST2025005274,Free UCJ Consult,2024-03-22 03:01:00,173,True,2.8833333333333333
CALL000010,3098,ST2025003638,Free UCJ Consult,2024-07-16 15:07:00,982,True,16.366666666666667
CALL000011,7614,ST2025008270,Free UCJ Consult,2024-02-19 01:16:00,1754,False,29.233333333333334
CALL000012,5331,ST2025000040,Free UCJ Consult,2024-08-08 11:39:00,278,True,4.633333333333334
CALL000013,6329,ST2025009334,Free UCJ Consult,2024-05-14 16:15:00,879,False,14.65
CALL000014,2079,ST2025004640,Free UCJ Consult,2024-05-11 18:40:00,238,True,3.966666666666667
CALL000015,7310,ST2025005050,Free UCJ Consult,2024-07-07 16:51:00,239,True,3.9833333333333334
CALL000016,7287,ST2025007291,Free UCJ Consult,2024-04-26 23:26:00,452,False,7.533333333333333
CALL000017,3833,ST2025006977,Paid Vet Consult,2024-07-23 22:02:00,1585,False,26.416666666666668
CALL000018,3108,ST2025005338,Free UCJ Consult,2024-08-08 20:54:00,740,True,12.333333333333334
CALL000019,7542,ST2025009278,Free UCJ Consult,2024-10-15 16:46:00,1195,True,19.916666666666668
CALL000020,2067,ST2025001560,Free UCJ Consult,2024-10-27 14:40:00,78,True,1.3
CALL000021,8088,ST2025007808,Paid Vet Consult,2024-07-05 08:25:00,243,False,4.05
CALL000022,7102,ST2025001814,Paid Vet Consult,2024-05-04 10:31:00,808,False,13.466666666666667
CALL000023,8579,ST2025003869,Paid Vet Consult,2024-07-12 13:14:00,1521,True,25.35
CALL000024,7806,ST2025009832,Free UCJ Consult,2024-04-21 00:37:00,1691,False,28.183333333333334
CALL000025,6565,ST2025006984,Free UCJ Consult,2024-02-15 05:47:00,144,True,2.4
CALL000026,5588,ST2025005286,Free UCJ Consult,2024-10-25 00:00:00,1384,False,23.066666666666666
CALL000027,4957,ST2025008529,Free UCJ Consult,2024-05-10 07:15:00,426,False,7.1
CALL000028,8204,ST2025005664,Free UCJ Consult,2024-11-29 20:03:00,1576,False,26.266666666666666
CALL000029,5780,ST2025005090,Paid Vet Consult,2024-09-27 08:17:00,938,True,15.633333333333333
CALL000030,9562,ST2025001331,Free UCJ Consult,2024-05-09 03:12:00,806,True,13.433333333333334
CALL000031,5378,ST2025007921,Free UCJ Consult,2024-11-30 16:49:00,643,True,10.716666666666667
CALL000032,9879,ST2025001012,Paid Vet Consult,2024-10-18 10:22:00,1022,True,17.033333333333335
CALL000033,6397,ST2025006884,Paid Vet Consult,2024-01-03 23:49:00,1390,True,23.166666666666668
CALL000034,8880,ST2025002153,Free UCJ Consult,2024-04-13 18:10:00,636,True,10.6
CALL000035,9734,ST2025001916,Free UCJ Consult,2024-07-02 12:53:00,1594,True,26.566666666666666
CALL000036,6273,ST2025001393,Free UCJ Consult,2024-08-09 06:24:00,1529,True,25.483333333333334
CALL000037,3441,ST2025000810,Free UCJ Consult,2024-09-13 15:32:00,1053,False,17.55
CALL000038,8028,ST2025008397,Free UCJ Consult,2024-04-04 23:48:00,1770,True,29.5
CALL000039,6299,ST2025005644,Free UCJ Consult,2024-12-19 06:15:00,969,False,16.15
CALL000040,7159,ST2025003059,Paid Vet Consult,2024-11-30 12:26:00,1109,True,18.483333333333334
CALL000041,6897,ST2025003927,Free UCJ Consult,2024-10-12 01:45:00,1643,True,27.383333333333333
CALL000042,4775,ST2025001859,Paid Vet Consult,2024-04-15 03:07:00,1560,True,26.0
CALL000043,6959,ST2025004035,Free UCJ Consult,2024-05-05 10:50:00,604,False,10.066666666666666
CALL000044,8229,ST2025000942,Free UCJ Consult,2024-04-20 04:11:00,1479,False,24.65
CALL000045,2447,ST2025001274,Paid Vet Consult,2024-04-09 06:21:00,1261,True,21.016666666666666
CALL000046,1956,ST2025002744,Free UCJ Consult,2024-08-08 14:16:00,1604,True,26.733333333333334
CALL000047,6574,ST2025002590,Free UCJ Consult,2024-04-07 23:56:00,1708,False,28.466666666666665
CALL000048,3256,ST2025002229,Free UCJ Consult,2024-03-17 05:52:00,1030,False,17.166666666666668
CALL000049,6172,ST2025000560,Paid Vet Consult,2024-02-22 11:00:00,1226,True,20.433333333333334
CALL000050,1242,ST2025002962,Free UCJ Consult,2024-07-02 21:17:00,689,False,11.483333333333333
CALL000051,4814,ST2025006107,Free UCJ Consult,2024-05-16 06:40:00,801,True,13.35
CALL000052,3001,ST2025007825,Free UCJ Consult,2024-06-28 09:28:00,1106,True,18.433333333333334
CALL000053,7766,ST2025001703,Free UCJ Consult,2024-04-20 08:52:00,1084,True,18.066666666666666
CALL000054,4083,ST2025002826,Free UCJ Consult,2024-07-01 20:01:00,1469,False,24.483333333333334
CALL000055,3148,ST2025000969,Free UCJ Consult,2024-08-08 10:14:00,1023,False,17.05
CALL000056,9768,ST2025008374,Paid Vet Consult,2024-07-04 19:43:00,782,True,13.033333333333333
CALL000057,5307,ST2025004873,Free UCJ Consult,2024-03-05 19:36:00,1531,True,25.516666666666666
CALL000058,9836,ST2025001825,Free UCJ Consult,2024-05-27 22:02:00,606,True,10.1
CALL000059,8509,ST2025001288,Free UCJ Consult,2024-03-23 22:41:00,1323,True,22.05
CALL000060,7982,ST2025007807,Free UCJ Consult,2024-02-06 00:41:00,728,True,12.133333333333333
CALL000061,8042,ST2025007416,Free UCJ Consult,2024-05-10 00:44:00,1634,False,27.233333333333334
CALL000062,2689,ST2025003012,Paid Vet Consult,2024-09-25 07:44:00,264,False,4.4
CALL000063,5370,ST2025001701,Free UCJ Consult,2024-03-03 17:12:00,905,True,15.083333333333334
CALL000064,5555,ST2025000447,Free UCJ Consult,2024-02-03 18:04:00,1589,True,26.483333333333334
CALL000065,6688,ST2025005273,Free UCJ Consult,2024-10-02 05:52:00,1198,True,19.966666666666665
CALL000066,5615,ST2025004640,Paid Vet Consult,2024-11-09 20:08:00,1480,False,24.666666666666668
CALL000067,4092,ST2025002730,Free UCJ Consult,2024-09-02 15:19:00,1453,True,24.216666666666665
CALL000068,4932,ST2025009333,Free UCJ Consult,2024-09-23 11:06:00,234,True,3.9
CALL000069,5090,ST2025008273,Free UCJ Consult,2024-03-18 23:16:00,1167,True,19.45
CALL000070,1080,ST2025005368,Free UCJ Consult,2024-09-14 23:41:00,1644,True,27.4
CALL000071,7228,ST2025007761,Free UCJ Consult,2024-05-18 03:34:00,1771,False,29.516666666666666
CALL000072,2519,ST2025005612,Free UCJ Consult,2024-09-30 04:15:00,293,True,4.883333333333334
CALL000073,9047,ST2025008666,Free UCJ Consult,2024-10-22 20:32:00,1455,True,24.25
CALL000074,4086,ST2025009395,Free UCJ Consult,2024-03-19 17:41:00,1657,True,27.616666666666667
CALL000075,7665,ST2025007268,Free UCJ Consult,2024-09-25 00:47:00,875,False,14.583333333333334
CALL000076,9880,ST2025004717,Free UCJ Consult,2024-04-27 12:18:00,996,False,16.6
CALL000077,6722,ST2025007940,Free UCJ Consult,2024-09-02 12:08:00,1761,True,29.35
CALL000078,7287,ST2025004952,Free UCJ Consult,2024-11-18 16:38:00,1259,True,20.983333333333334
CALL000079,6618,ST2025002842,Free UCJ Consult,2024-12-24 03:49:00,279,True,4.65
CALL000080,8509,ST2025009189,Free UCJ Consult,2024-11-22 22:04:00,843,True,14.05
CALL000081,4581,ST2025006254,Free UCJ Consult,2024-01-30 20:47:00,1438,False,23.966666666666665
CALL000082,4409,ST2025008903,Free UCJ Consult,2024-04-17 06:34:00,532,True,8.866666666666667
CALL000083,3738,ST2025007905,Free UCJ Consult,2024-04-15 03:38:00,815,True,13.583333333333334
CALL000084,6322,ST2025000879,Free UCJ Consult,2024-08-01 16:41:00,523,True,8.716666666666667
CALL000085,9768,ST2025005305,Paid Vet Consult,2024-11-14 21:59:00,564,False,9.4
CALL000086,8189,ST2025004480,Free UCJ Consult,2024-01-19 05:47:00,411,True,6.85
CALL000087,1674,ST2025003504,Free UCJ Consult,2024-12-16 02:43:00,449,True,7.483333333333333
CALL000088,5875,ST2025003373,Free UCJ Consult,2024-09-28 09:34:00,673,True,11.216666666666667
CALL000089,6031,ST2025000365,Free UCJ Consult,2024-01-13 10:29:00,1013,False,16.883333333333333
CALL000090,6622,ST2025000771,Free UCJ Consult,2024-09-01 08:43:00,1594,True,26.566666666666666
CALL000091,9226,ST2025008172,Free UCJ Consult,2024-02-20 10:47:00,1545,False,25.75
CALL000092,7327,ST2025009886,Free UCJ Consult,2024-02-25 08:44:00,1298,True,21.633333333333333
CALL000093,5182,ST2025007663,Paid Vet Consult,2024-03-10 23:25:00,680,False,11.333333333333334
CALL000094,9820,ST2025002846,Paid Vet Consult,2024-12-18 15:34:00,1357,True,22.616666666666667
CALL000095,1595,ST2025003068,Free UCJ Consult,2024-12-17 14:04:00,346,True,5.766666666666667
CALL000096,9498,ST2025004641,Free UCJ Consult,2024-01-10 21:11:00,1575,True,26.25
CALL000097,3743,ST2025004237,Free UCJ Consult,2024-09-30 01:21:00,503,True,8.383333333333333
CALL000098,1584,ST2025007451,Free UCJ Consult,2024-03-09 13:03:00,1153,True,19.216666666666665
CALL000099,5117,ST2025001990,Paid Vet Consult,2024-08-11 22:58:00,101,True,1.6833333333333333
